track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,danceability,energy,tempo,liveness
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,I Don't Care (with Justin Bieber) [Loud Luxury Remix],2019-06-14,pop,dance pop,0.748,0.916,122.036,0.0653
Memories - Dillon Francis Remix,Maroon 5,67,Memories (Dillon Francis Remix),2019-12-13,pop,dance pop,0.726,0.815,99.972,0.357
All the Time - Don Diablo Remix,Zara Larsson,70,All the Time (Don Diablo Remix),2019-07-05,pop,dance pop,0.675,0.931,124.008,0.11
Call You Mine - Keanu Silva Remix,The Chainsmokers,60,Call You Mine - The Remixes,2019-07-19,pop,dance pop,0.718,0.93,121.956,0.204
Someone You Loved - Future Humans Remix,Lewis Capaldi,69,Someone You Loved (Future Humans Remix),2019-03-05,pop,dance pop,0.65,0.833,123.976,0.0833
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,Beautiful People (feat. Khalid) [Jack Wins Remix],2019-07-11,pop,dance pop,0.675,0.919,124.982,0.143
Never Really Over - R3HAB Remix,Katy Perry,62,Never Really Over (R3HAB Remix),2019-07-26,pop,dance pop,0.449,0.856,112.648,0.176
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,Post Malone (feat. RANI) [GATTÜSO Remix],2019-08-29,pop,dance pop,0.542,0.903,127.936,0.111
Tough Love - Tiësto Remix / Radio Edit,Avicii,68,Tough Love (Tiësto Remix),2019-06-14,pop,dance pop,0.594,0.935,127.015,0.637
If I Can't Have You - Gryffin Remix,Shawn Mendes,67,If I Can't Have You (Gryffin Remix),2019-06-20,pop,dance pop,0.642,0.818,124.957,0.0919
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],2019-06-21,pop,dance pop,0.679,0.923,121.984,0.124
Hate Me - R3HAB Remix,Ellie Goulding,67,Hate Me (R3HAB Remix),2019-08-16,pop,dance pop,0.437,0.774,123.125,0.133
Body On My,Loud Luxury,67,Body On My,2019-03-29,pop,dance pop,0.744,0.726,121.985,0.374
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,SOS (Laidback Luke Tribute Remix),2019-05-17,pop,dance pop,0.572,0.915,123.919,0.339
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],2019-07-12,pop,dance pop,0.69,0.78,126.07,0.0729
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],2019-12-11,pop,dance pop,0.805,0.835,125.028,0.365
All My Friends - Eden Prince Remix,AJ Mitchell,60,All My Friends (Eden Prince Remix),2019-05-03,pop,dance pop,0.694,0.901,118.051,0.427
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,pop,dance pop,0.678,0.747,120.002,0.174
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,Dancing With A Stranger (With Normani) [Cheat Codes Remix],2019-03-08,pop,dance pop,0.746,0.557,111.961,0.138
Let It Be Me - Sondr Remix,Steve Aoki,35,Let It Be Me (Remixes),2019-10-18,pop,dance pop,0.467,0.821,122.676,0.131
Heaven - David Guetta & MORTEN Remix,Avicii,70,Heaven (David Guetta & MORTEN Remix),2019-08-23,pop,dance pop,0.572,0.934,125.948,0.105
All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],2019-08-23,pop,dance pop,0.708,0.913,135.016,0.113
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,pop,dance pop,0.684,0.818,123.938,0.119
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],2019-10-25,pop,dance pop,0.732,0.85,124.024,0.0388
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),2019-05-24,pop,dance pop,0.62,0.889,110.018,0.395
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),2019-06-21,pop,dance pop,0.675,0.76,124.933,0.33
One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),2019-08-09,pop,dance pop,0.682,0.851,126,0.0289
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2019-02-01,pop,dance pop,0.663,0.905,125.996,0.333
So Am I - Toby Green Remix,Ava Max,62,So Am I (Toby Green Remix),2019-05-23,pop,dance pop,0.625,0.938,127.997,0.0923
When You Leave - Breathe Carolina Remix,Nikki Vianna,30,When You Leave (Breathe Carolina Remix),2019-04-19,pop,dance pop,0.679,0.909,119.885,0.269
Mother - Fedde Le Grand Remix,Charlie Puth,56,Mother (Fedde Le Grand Remix),2019-11-01,pop,dance pop,0.641,0.869,128.091,0.403
Signs - Eden Prince Remix,Starley,56,Signs (Eden Prince Remix),2018-11-30,pop,dance pop,0.702,0.814,121.993,0.374
Ruin My Life - Steve James Remix,Zara Larsson,58,Ruin My Life (Remixes),2018-11-23,pop,dance pop,0.723,0.837,123.952,0.0834
Torn - KREAM Remix,Ava Max,60,Torn (KREAM Remix),2019-09-05,pop,dance pop,0.742,0.864,125.032,0.241
Quite Miss Home - Steve Void Remix,James Arthur,60,Quite Miss Home (Steve Void Remix),2019-11-22,pop,dance pop,0.716,0.815,124.975,0.163
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,55,Love Me Less (Remixes),2019-06-21,pop,dance pop,0.748,0.831,128.024,0.0757
Happier - Matt Medved Remix,Marshmello,59,Happier (Remixes Pt. 2),2018-11-30,pop,dance pop,0.816,0.833,122.032,0.0625
Side Effects - Fedde Le Grand Remix,The Chainsmokers,63,Side Effects - Remixes,2018-07-25,pop,dance pop,0.633,0.854,126.026,0.434
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,67,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,pop,dance pop,0.563,0.81,129.975,0.0846
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,55,Paradise (Bazzi vs. Black Caviar Remix),2019-06-27,pop,dance pop,0.728,0.815,124.019,0.101
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,56,White Mercedes (EDX's Miami Sunset Remix),2019-10-25,pop,dance pop,0.846,0.773,124.008,0.204
Higher Love,Kygo,87,Higher Love,2019-06-28,pop,dance pop,0.693,0.678,103.952,0.101
Unlove You,Armin van Buuren,62,Unlove You,2019-10-18,pop,dance pop,0.678,0.928,116.892,0.143
bad guy (with Justin Bieber),Billie Eilish,83,bad guy (with Justin Bieber),2019-07-11,pop,dance pop,0.67,0.453,135.055,0.117
Freaking Me Out - Keanu Silva Remix,Ava Max,55,Freaking Me Out (Keanu Silva Remix),2019-11-01,pop,dance pop,0.755,0.931,122.041,0.0854
Heaven Can Wait - The Aston Shuffle Remix,Sia,61,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,pop,dance pop,0.622,0.859,121.968,0.0909
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,56,When It Comes To You (Remixes),2019-10-25,pop,dance pop,0.789,0.893,121.956,0.221
Gone - The Wild Remix,Charli XCX,57,Gone (The Wild Remix),2019-08-09,pop,dance pop,0.64,0.838,124.081,0.0424
American Boy - Brooks Remix,Estelle,56,American Boy (Brooks Remix),2019-06-14,pop,dance pop,0.609,0.764,128.082,0.197
Million Pieces - M-22 Remix,Bastille,53,Million Pieces (M-22 Remix),2019-09-27,pop,dance pop,0.64,0.992,123.951,0.109
joy. (R3HAB Remix),for KING & COUNTRY,56,joy. (R3HAB Remix),2019-01-25,pop,dance pop,0.75,0.81,120.038,0.111
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,34,Crash Into Me (Settle Down Steavis Aoki Remix),2019-11-12,pop,dance pop,0.535,0.956,127.984,0.262
Old Town Road - Diplo Remix,Lil Nas X,74,Old Town Road (Diplo Remix),2019-04-29,pop,dance pop,0.766,0.771,140.036,0.113
Lovers + Strangers - GATTÜSO Remix,Starley,46,Lovers + Strangers (GATTÜSO Remix),2019-11-15,pop,dance pop,0.649,0.821,125.977,0.0655
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,63,Promises (with Sam Smith) [Remixes],2018-10-19,pop,dance pop,0.588,0.697,125.157,0.103
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,55,Flames (with ZAYN) (R3HAB & Skytech VIP Remix),2019-12-12,pop,dance pop,0.355,0.789,80.444,0.0355
What Am I - SONDR Remix,Why Don't We,52,What Am I (SONDR Remix),2019-11-01,pop,dance pop,0.542,0.84,118.02,0.277
Cool Kids,Olympis,67,Cool Kids,2019-11-01,pop,dance pop,0.735,0.5,126.1,0.13
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,Loco Contigo (with J. Balvin & Tyga) [Cedric Gervais Remix],2019-08-09,pop,dance pop,0.752,0.84,124.002,0.0916
All Star - Breathe Carolina Remix,Smash Mouth,60,All Star (Breathe Carolina Remix),2019-08-23,pop,dance pop,0.748,0.903,115.018,0.106
Trampoline - Dave Audé Remix,SHAED,45,Melt (Deluxe),2019-12-27,pop,dance pop,0.607,0.955,125.984,0.0725
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],2019-07-11,pop,dance pop,0.607,0.995,124.998,0.0445
With You - Dexter Remix,Kaskade,51,With You - The Remixes,2019-09-12,pop,dance pop,0.679,0.786,126.092,0.224
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,Safety (The Dark Heart Remixes) (feat. DJ Snake),2019-11-15,pop,dance pop,0.714,0.801,124.015,0.334
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,Beautiful (feat. Camila Cabello) [Bazzi vs. EDX's Ibiza Sunrise Remix],2018-09-28,pop,dance pop,0.69,0.862,121.975,0.238
Talk - Disclosure VIP,Khalid,60,Talk (Disclosure VIP),2019-03-27,pop,dance pop,0.775,0.867,128.956,0.0355
Spicy - Majestic Remix,Herve Pagez,48,Spicy (with Diplo & Charli XCX) [Remixes],2019-10-11,pop,dance pop,0.814,0.838,121.978,0.0185
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,Don't Leave Me Lonely (feat. Yebba) [Claptone Remix],2019-10-04,pop,dance pop,0.784,0.779,124.994,0.0245
Treehouse - R3HAB Remix,James Arthur,56,Treehouse (R3HAB Remix),2019-09-13,pop,dance pop,0.367,0.783,88.013,0.0545
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,"Hearts Ain't Gonna Lie (Remixes, Pt. 1)",2018-02-09,pop,dance pop,0.609,0.83,117.833,0.0321
Call You Mine,The Chainsmokers,39,World War Joy,2019-05-31,pop,dance pop,0.591,0.702,104.003,0.414
Post Malone (feat. RANI),Sam Feldt,83,Magnets EP,2019-05-24,pop,dance pop,0.59,0.642,107.356,0.105
Here With Me,Marshmello,83,Here With Me,2019-03-08,pop,dance pop,0.791,0.565,99.961,0.156
Easier - Seeb Remix,5 Seconds of Summer,71,Easier (Seeb Remix),2019-07-12,pop,dance pop,0.564,0.747,97.878,0.151
Sixteen,Ellie Goulding,81,Sixteen,2019-04-12,pop,dance pop,0.669,0.801,109.919,0.0594
Never Really Over,Katy Perry,85,Never Really Over,2019-05-31,pop,dance pop,0.77,0.882,99.991,0.316
All You Need To Know (feat. Calle Lehmann),Gryffin,76,All You Need To Know (feat. Calle Lehmann),2019-03-27,pop,dance pop,0.513,0.788,139.987,0.11
I Miss Myself (with HRVY),NOTD,71,I Miss Myself (with HRVY),2019-05-03,pop,dance pop,0.72,0.864,96.048,0.16
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,South of the Border (feat. Camila Cabello & Cardi B) [Sam Feldt Remix],2019-10-04,pop,dance pop,0.789,0.858,110.012,0.335
Takeaway (feat. Lennon Stella),The Chainsmokers,67,World War Joy...Takeaway,2019-07-24,pop,dance pop,0.294,0.505,85.332,0.0977
All the Time,Zara Larsson,74,All the Time,2019-06-21,pop,dance pop,0.665,0.799,101.976,0.125
What I Like About You (feat. Theresa Rex),Jonas Blue,81,What I Like About You (feat. Theresa Rex),2019-03-22,pop,dance pop,0.46,0.8,102.46,0.121
With You,Kaskade,71,With You,2019-06-14,pop,dance pop,0.362,0.921,172.191,0.19
Body Back (feat. Maia Wright),Gryffin,75,Body Back (feat. Maia Wright),2019-10-18,pop,dance pop,0.686,0.83,123.032,0.182
Not Ok,Kygo,73,Not Ok,2019-05-23,pop,dance pop,0.618,0.66,105,0.325
Ruin My Life,Zara Larsson,79,Ruin My Life,2018-10-18,pop,dance pop,0.665,0.699,124.896,0.0969
I Wanna Know (feat. Bea Miller),NOTD,74,I Wanna Know (feat. Bea Miller),2018-03-16,pop,dance pop,0.661,0.725,119.927,0.123
Better With You,3LAU,63,Better With You,2019-03-01,pop,dance pop,0.571,0.752,102.043,0.114
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,pop,dance pop,0.591,0.705,121.799,0.131
Polaroid,Jonas Blue,16,Blue,2018-11-09,pop,dance pop,0.652,0.898,114.043,0.073
Lost In Japan - Remix,Shawn Mendes,75,Lost In Japan (Remix),2018-09-27,pop,dance pop,0.706,0.855,107.184,0.347
In Your Arms (with X Ambassadors),ILLENIUM,75,ASCEND,2019-08-16,pop,dance pop,0.404,0.806,148.036,0.114
I'm Not Alright,Loud Luxury,55,I'm Not Alright,2019-07-12,pop,dance pop,0.876,0.856,121.991,0.457
SOS,Avicii,30,SOS,2019-04-10,pop,dance pop,0.802,0.645,100.001,0.119
Harder,Jax Jones,62,Snacks,2019-07-12,pop,dance pop,0.906,0.832,104.03,0.152
The Middle,Zedd,84,The Middle,2018-01-23,pop,dance pop,0.753,0.657,107.01,0.112
Wanted,NOTD,70,Wanted,2019-09-27,pop,dance pop,0.693,0.674,95.972,0.0639
Crash Into Me,Steve Aoki,37,Crash Into Me,2019-07-12,pop,dance pop,0.672,0.815,115.033,0.577
Need Your Love (with Noah Kahan),Gryffin,70,Gravity,2019-10-24,pop,dance pop,0.581,0.76,104.099,0.183
Good Things Fall Apart (with Jon Bellion),ILLENIUM,74,Good Things Fall Apart (with Jon Bellion),2019-05-13,pop,dance pop,0.643,0.594,144.033,0.118
Don't Call Me Up,Mabel,85,Ivy To Roses (Mixtape),2019-01-18,pop,dance pop,0.674,0.881,98.994,0.0793
Nostalgic,A R I Z O N A,36,Nostalgic,2019-06-18,pop,dance pop,0.691,0.538,99.972,0.178
Let It Be Me,Steve Aoki,52,Let It Be Me,2019-09-06,pop,dance pop,0.661,0.758,114.098,0.106
